split_id,predictive_model_id,job_id,encoding_value_encoding,encoding_prefix_length,encoding_task_generation_type,labelling_type,labelling_attribute_name,clustering_method,predictive_model,evaluation_elapsed_time,evaluation_f1_score,evaluation_accuracy,evaluation_precision,evaluation_recall,evaluation_auc,evaluation_true_positive,evaluation_false_positive,evaluation_true_negative,evaluation_false_negative,hyperparameter_optimizer_performance_metric,hyperparameter_optimizer_max_evaluations
4,1,39,simpleIndex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.191638,0.509800709525793,0.510707002039429,0.518278984128193,0.517879225007879,0.502078742909384,1629.0,1811.0,1376.0,1068.0,,
4,1,64,complex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.460534,0.50349532078093,0.503963884606915,0.505718187800474,0.505765442954937,0.507334280295381,2149.0,2555.0,2428.0,1950.0,,
3,73170,88,simpleIndex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.168170,0.364984233538517,0.550209205020921,0.569805157821595,0.502400207546351,0.588256206745775,46.0,32.0,4951.0,4053.0,auc,1000
4,1,69,simpleIndex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.082325,0.490716546552904,0.493613741466637,0.506065873469656,0.505746691715972,0.504599634855116,2584.0,3084.0,1899.0,1515.0,,
27,381320,632,complex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.347351,0.514789080059215,0.529192902117916,0.521815288336338,0.520194822410747,0.532075249905256,2451.0,2020.0,1247.0,1270.0,auc,1000
4,3,54,complex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.151662,0.490358558835475,0.554044867437118,0.545950097000098,0.528270031001686,0.583305905677484,590.0,517.0,2670.0,2107.0,,
4,2,74,complex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.465154,0.568801952599325,0.568927548998018,0.572292211745542,0.572692139857609,0.590191721381852,2506.0,2322.0,2661.0,1593.0,,
9,3,149,simpleIndex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.064235,0.233974358974359,0.489698131288931,0.213584117032393,0.258668691470514,0.490949028192764,0.0,0.0,1317.0,770.0,,
2,648004,1082,simpleIndex,2,only,remaining_time,,noCluster,linear,0:00:00.053652,,,,,,,,,,,
3,78846,93,complex,70,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.648580,0.503582027508526,0.503611017803158,0.508187134369931,0.508211243391074,0.50483102365384,2953.0,3523.0,3044.0,2388.0,auc,1000
6,133521,196,simpleIndex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:02.706609,0.247307256235828,0.576414886588857,0.204524144397562,0.312724014336918,0.511474958497858,0.0,0.0,5580.0,3502.0,auc,1000
2,36467,27,simpleIndex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.070144,0.351930847306252,0.524197412553905,0.76106833493744,0.504491017964072,0.569869477634593,9.0,0.0,1085.0,993.0,auc,1000
6,119032,171,complex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.358821,0.204241366545031,0.328178110129164,0.239014729545736,0.178301015697138,0.61907069437237,0.0,0.0,3610.0,2274.0,auc,1000
13,200408,308,simpleIndex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.162257,0.552570380737049,0.557476326800264,0.554013971207856,0.555456524740678,0.584760334786672,3007.0,1728.0,2056.0,2291.0,auc,1000
11,210803,326,simpleIndex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.121589,0.368428372739917,0.583351684650958,0.291675842325479,0.5,0.5,5298.0,3784.0,0.0,0.0,auc,1000
11,188621,291,complex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.214874,0.374042553191489,0.597552685248131,0.298776342624065,0.5,0.738964780693663,3516.0,2368.0,0.0,0.0,auc,1000
17,259851,412,complex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.407685,0.312134673836802,0.453772943575799,0.226886471787899,0.5,0.647249043860078,0.0,0.0,2670.0,3214.0,auc,1000
11,169552,256,simpleIndex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.051309,0.462388653093169,0.573550551030187,0.486671557838102,0.492127890067634,0.50360422786762,1073.0,666.0,124.0,224.0,auc,1000
11,186313,286,simpleIndex,30,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.085733,0.374042553191489,0.597552685248131,0.298776342624065,0.5,0.5,3516.0,2368.0,0.0,0.0,auc,1000
2,54964,57,simpleIndex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.085549,0.436266830024112,0.539259007477906,0.517623592990535,0.507181333976473,0.475008082869099,329.0,343.0,2844.0,2368.0,auc,1000
13,219114,338,simpleIndex,70,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.149983,0.548223793639601,0.548874706079946,0.554548142878193,0.555484059666569,0.604834481632691,3494.0,2028.0,3042.0,3344.0,auc,1000
16,248380,396,simpleIndex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.158926,0.353264453726094,0.546227056424201,0.273113528212101,0.5,0.5,0.0,0.0,3214.0,2670.0,auc,1000
8,107665,148,simpleIndex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.063045,0.0,0.0,0.0,0.0,0.566882130777347,0.0,0.0,1317.0,770.0,auc,1000
13,190000,293,complex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.223552,0.374042553191489,0.597552685248131,0.298776342624065,0.5,0.5,3516.0,2368.0,0.0,0.0,auc,1000
1,76234,96,simpleIndex,70,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.107617,0.499219351272988,0.507725898555593,0.530473615109841,0.52672769645576,0.54033781441462,3799.0,4320.0,2247.0,1542.0,auc,1000
3,59963,63,complex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.356702,0.501244879765533,0.50187183439771,0.510352979752193,0.510156145924198,0.496802546565128,2440.0,2865.0,2118.0,1659.0,auc,1000
11,204913,316,simpleIndex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.171057,0.495803166465349,0.552741686853116,0.514257972172882,0.510919593895179,0.523177600227299,4036.0,2800.0,984.0,1262.0,auc,1000
11,179575,276,simpleIndex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.079051,0.505670869001419,0.524983004758668,0.505680245985921,0.505668344325554,0.495231679791993,2126.0,1405.0,963.0,1390.0,auc,1000
12,193606,297,simpleIndex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.083750,0.390491110587769,0.587355540448674,0.460409745293466,0.495328306121821,0.47801477752283,3400.0,2312.0,56.0,116.0,auc,1000
8,96450,128,simpleIndex,10,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.046426,0.216269841269841,0.41782462865357,0.212010697787503,0.220703619336877,0.483900344150914,0.0,0.0,1317.0,770.0,auc,1000
18,232301,368,simpleIndex,10,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.041680,0.513100887398694,0.542405366554863,0.519430011349792,0.517515699360761,0.519893835712878,822.0,580.0,310.0,375.0,auc,1000
17,239024,377,simpleIndex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.299830,0.364494518879415,0.573550551030187,0.286775275515093,0.5,0.464933870256165,1197.0,890.0,0.0,0.0,auc,1000
7,30498,152,complex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.107041,0.171690694626474,0.267165193745751,0.210104250200481,0.145152354570637,0.508384678541236,0.0,0.0,3610.0,2274.0,auc,1000
6,122280,176,simpleIndex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.132836,0.02711157455683,0.026512576478586,0.230088495575221,0.014404432132964,0.571048246223112,0.0,0.0,3610.0,2274.0,auc,1000
16,263475,421,complex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.385810,0.338817705299942,0.512442193349482,0.256221096674741,0.5,0.5,0.0,0.0,4654.0,4428.0,auc,1000
26,394597,656,simpleIndex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.202832,0.34746474927631,0.53248425872925,0.266242129364625,0.5,0.546300964578065,3721.0,3267.0,0.0,0.0,auc,1000
5,3,90,simpleIndex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.178517,0.354283682900818,0.548667694340454,0.274333847170227,0.5,0.475065405349645,0.0,0.0,4983.0,4099.0,,
19,1,429,simpleIndex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.133602,0.338817705299942,0.512442193349482,0.256221096674741,0.5,0.5,4654.0,4428.0,0.0,0.0,,
9,2,194,complex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.526007,0.245994242572375,0.498678705131028,0.225525346081068,0.270549581839904,0.67933177968964,0.0,0.0,5580.0,3502.0,,
5,3,120,simpleIndex,70,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.126581,0.519332932111837,0.525529056096742,0.519439164485326,0.519344750737626,0.534908276410677,2453.0,2762.0,3805.0,2888.0,,
5,3,85,complex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.684671,0.553357784979274,0.553512442193349,0.556643015198174,0.556978112016572,0.581340083975196,2429.0,2385.0,2598.0,1670.0,,
5,2,80,simpleIndex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.083847,0.515632253528935,0.54789693900022,0.533366048980429,0.527775603188925,0.509830031034525,1316.0,1323.0,3660.0,2783.0,,
32,447815,752,complex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.474254,0.518548024726267,0.549227246708643,0.519545646061964,0.520698091800866,0.526842336005258,2801.0,1390.0,1037.0,1760.0,auc,1000
5,2,15,complex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.112061,0.469561552518467,0.545759463344514,0.56502043092753,0.531526808134882,0.587793997258938,174.0,120.0,965.0,828.0,,
4,2,79,simpleIndex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.091798,0.439067807810608,0.546575644131249,0.522063204626438,0.508783584607279,0.481372969633715,494.0,513.0,4470.0,3605.0,,
15,1,305,complex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.544575,0.538395557036749,0.546135212508258,0.538774436149066,0.53954322385806,0.564552960668871,3068.0,1892.0,1892.0,2230.0,,
5,2,105,complex,70,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:01.225088,0.707528277208714,0.718928451461203,0.722894224118111,0.70608628864851,0.79527600328525,3105.0,1111.0,5456.0,2236.0,,
5,3,115,complex,70,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.723580,0.509640327073058,0.525109170305677,0.561634063992558,0.549217024624863,0.590063415863451,4184.0,4498.0,2069.0,1157.0,,
5,1,95,complex,70,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:01.151690,0.505277424825741,0.506550218340611,0.506628047052704,0.506699041324989,0.504743794659955,2714.0,3249.0,3318.0,2627.0,,
4,3,24,complex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.128176,0.478810966669925,0.510301868711069,0.501654780862702,0.501319020944287,0.53790483549031,276.0,296.0,789.0,726.0,,
4,1,99,simpleIndex,70,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.175002,0.487797208525476,0.495381256298287,0.515009421034601,0.5133507261019,0.517110083332414,3674.0,4342.0,2225.0,1667.0,,
4,1,94,complex,70,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.953145,0.50459554660817,0.505458515283843,0.506463899250099,0.506530670407064,0.507120902350655,2761.0,3309.0,3258.0,2580.0,,
5,1,100,simpleIndex,70,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.164667,0.495218562522141,0.499076251259657,0.514495268138801,0.513519966601231,0.506767952087604,3492.0,4116.0,2451.0,1849.0,,
4,3,114,complex,70,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.631639,0.507425429466044,0.51671145448438,0.508114369182348,0.507959663511341,0.503567678679805,2259.0,2673.0,3894.0,3082.0,,
5,2,110,simpleIndex,70,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.108996,0.386033195525118,0.543416190796103,0.480236420764223,0.49655317888028,0.49295928445938,221.0,317.0,6250.0,5120.0,,
4,3,89,simpleIndex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.099295,0.453367610014383,0.454745650737723,0.454595175622688,0.454161323420342,0.415016374042077,1837.0,2690.0,2293.0,2262.0,,
4,3,119,simpleIndex,70,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.108733,0.409018317256845,0.428283506886127,0.439045810663933,0.451659869818817,0.450226557318373,3625.0,5092.0,1475.0,1716.0,,
14,2,349,simpleIndex,70,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.108616,0.364771151178918,0.574235807860262,0.287117903930131,0.5,0.5,6838.0,5070.0,0.0,0.0,,
4,2,19,simpleIndex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.065522,0.376145874850538,0.499760421657882,0.635197453442342,0.518283249169863,0.587887358922707,986.0,1028.0,57.0,16.0,,
6,128735,186,simpleIndex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.127549,0.230663712145194,0.48139176392865,0.206538170823885,0.261170848267622,0.505624307871181,0.0,0.0,5580.0,3502.0,auc,1000
13,174579,258,simpleIndex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.079568,0.383274231678487,0.621466219453761,0.310733109726881,0.5,0.609819642212311,1297.0,790.0,0.0,0.0,auc,1000
6,93948,126,simpleIndex,10,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.034337,0.244107200516629,0.543363679923335,0.212359550561798,0.287015945330296,0.492904475934089,0.0,0.0,1317.0,770.0,auc,1000
17,236285,372,complex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.367370,0.770381885878012,0.770963104935314,0.774975610654003,0.78045018914327,0.841158608130814,857.0,138.0,752.0,340.0,auc,1000
23,319742,513,complex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.258098,0.446014985154985,0.721522610188895,0.533223474194606,0.503996587519538,0.567590205516843,4985.0,1833.0,57.0,113.0,auc,1000
18,286999,458,simpleIndex,70,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.173992,0.55659675317337,0.563234800134363,0.572866622606841,0.567426109408826,0.574869879291859,4082.0,3508.0,2625.0,1693.0,auc,1000
7,103429,142,complex,10,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.091619,0.197416974169742,0.307618591279348,0.251468860164512,0.162490508731967,0.640751313985938,0.0,0.0,1317.0,770.0,auc,1000
6,109410,151,complex,30,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.192763,0.168990703851262,0.259517335146159,0.210853355426678,0.140997229916898,0.516577924118726,0.0,0.0,3610.0,2274.0,auc,1000
8,140753,208,simpleIndex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.369045,0.238666666666667,0.532151508478309,0.203409090909091,0.288709677419355,0.541596583826139,0.0,0.0,5580.0,3502.0,auc,1000
3,56944,48,simpleIndex,30,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:02.777205,0.479375989130521,0.491502379333787,0.509044532424174,0.507732970159757,0.52663996149541,1895.0,2190.0,997.0,802.0,auc,1000
6,115170,166,simpleIndex,30,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.572719,0.253814244533502,0.613528212100612,0.204927338782925,0.333333333333333,0.57836149706303,0.0,0.0,3610.0,2274.0,auc,1000
3,9502,18,simpleIndex,10,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.520041,0.456417928791575,0.471969333972209,0.476066206488639,0.47945445514501,0.492392174176992,669.0,769.0,316.0,333.0,auc,1000
17,276769,442,complex,50,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.572373,0.552700988021219,0.591389561770535,0.658648565173727,0.59907898480933,0.815181639944891,1350.0,407.0,4021.0,3304.0,auc,1000
8,133678,198,simpleIndex,50,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.317254,0.253593522561863,0.613851574543052,0.204752460702218,0.333034647550777,0.593900157411331,0.0,0.0,5580.0,3502.0,auc,1000
11,221321,346,simpleIndex,70,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:00.242311,0.517286077329101,0.536278132348001,0.519022275001419,0.518252450484097,0.520682108855664,4374.0,3058.0,2012.0,2464.0,auc,1000
42,647582,1062,complex,70,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:01:06.794114,0.537262920295329,0.565479920250641,0.66071341747634,0.602286844442571,0.793098790468422,7131.0,7001.0,2796.0,627.0,auc,1000
8,124014,178,simpleIndex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.184023,0.223941261308509,0.435418082936778,0.212596465023649,0.236565096952909,0.554935352546065,0.0,0.0,3610.0,2274.0,auc,1000
23,335204,538,simpleIndex,30,all_in_one,attribute_string,label,noCluster,perceptron,0:00:00.199997,0.421810359093166,0.729536348025186,0.364768174012593,0.5,0.446925602113911,5098.0,1890.0,0.0,0.0,auc,1000
17,274810,402,complex,30,all_in_one,attribute_string,label,noCluster,SGDClassifier,0:00:01.186878,0.353264453726094,0.546227056424201,0.273113528212101,0.5,0.494530075582249,3214.0,2670.0,0.0,0.0,auc,1000
11,195708,301,complex,50,all_in_one,attribute_string,label,noCluster,multinomialNB,0:00:00.301587,0.522500751793987,0.528738163400132,0.523670948683947,0.524254335873683,0.544717176572275,2920.0,1902.0,1882.0,2378.0,auc,1000
